possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Cobrança de Custo Operacional- processo de cobrança de utilização referente a internações psiquiátricas ou dependência química para contratos que a lei permite a cobrança.;Documentação do Cliente;;;;Tratativa feita apenas pelo faturamento.;Sim;Sim;;;Não;Cobrança referente a internações e tratamentos  psiquiátricos.;Não;Acesso aos Dados;;Indeterminado;Emitir as cobranças e direciona-la apenas aos envolvidos legalmente através de um boleto.;Dado referente à Saúde/Dados Médicos;Sim;e-mail.;;Nome, Carteirinha do plano, CPF, Geolocalização histórica;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não sei;Custos Asssistenciais.;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de um Contrato;Dados de Clientes, Dados de prestadores de serviços - pessoa física
;Controle de Acesso;BRASIL;;;;;PROCESSOS DE AUDITORIA MÉDICA;Verdadeiro;ANÁLISE DE RELATÓRIOS E TERAPIAS REALIZADAS PELO CENTRO DE ATENDIMENTO MULTIDISCIPLINAR;Atividades Administrativas;;;;;Sim;Não;;;Não;ANALISE REALIZADA PARA LIBERAÇÃO INICIAL E CONTINUIDADE DE TRATAMENTO DOS BENEFICIÁRIOS  DO CENTRO DE ATENDIMENTO MULTIDISCIPLINAR;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Carteirinha do plano, Data de aniversário/nascimento, Nome;;E-Mail;Falso;Não;;;Auditoria Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;SISTEMA INTERNO UNIMED;;;E-mail, Sistemas MV ou UNICOO;Computador;Atividades Administrativas;Dados de Clientes, Dados de crianças
;;Brasil;;;;E-Mail;;Verdadeiro;Solicitações para Transferência de responsabilidade contratual.;Atividades Administrativas, Documentação do Cliente;Sistema OMD;;;;Sim;Não;;;Sim;Recepcionamos o contato do cliente (contato telefônico, por e-mail ou protocolado via site). Identificar a solicitação e os dados do beneficiário em nosso sistema. cadastramos a demanda através da plataforma e direcionamos  à área responsável. a tratativa e realizada pelo setor responsável. Finalizamos a demanda respondendo ao cliente por e-mail.;Não;Acesso aos Dados, Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;;;Sim;Telefone, e-mail e plataforma eletrônica.;;Carteirinha do plano, Celular, CPF, E-mail, Nome, Telefone ;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";;Falso;Não;;;Call Center;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;Área de cadastro;;;Contrato, Sistemas MV ou UNICOO;Computador, E-mail;Atividades Administrativas, Documentação do Cliente;Dados de Clientes
;Controle de Acesso;BRASIL;;;;;PROCESSOS DE AUDITORIA MÉDICA;Verdadeiro;ANÁLISE DE INTERNAÇÕES DE BENEFICIÁRIOS EM HOME CARE;Assistência Médica, Atividades Administrativas;;;;;Sim;Não;;;Não;ANÁLISE REALIZADA PARA VALIDAÇÃO  DAS INTERNAÇÕES DE BENEFICIÁRIOS NO SERVIÇO DE HOME CARE;Não;Cancelamento do Tratamento, Confirmação da Existência de Tratamento;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Sim;TELEFONE, EMAIL;;Carteirinha do plano, Nome, Data de aniversário/nascimento;;E-Mail;Falso;Não;;;Auditoria Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;SISTEMA INTERNO  UNIMED;;;Sistemas MV ou UNICOO;E-mail, Computador;Assistência Médica, Atividades Administrativas;Dados de Clientes, Dados de crianças
;Backup ou Cópia de Segurança, Controle de Acesso, Gestão de Senhas;BRASIL;;;;Integração de Aplicações,  Integração de aplicativos;RELATÓRIO DE REGISTRO DE PONTO;Verdadeiro;RELATÓRIO DE REGISTRO DE PONTO;Atividades Administrativas;DIMEP, RELOGIO DE PONTO;;;;Sim;Não;DATA DE ADMISSÃO, CARGO, CENTRO DE CUSTOS;TOTVS;Sim;APURAR ABSENTEISMO, DEMANDA SOLICITADA A QUALQUER TEMPO PELO GESTOR.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;APURAR ABSENTEISMO, DEMANDA SOLICITADA A QUALQUER TEMPO PELO GESTOR.;Origem Racial, Biometria;Sim;EMAIL, TELEFONE, FISICO;;Celular, CPF, Data de aniversário/nascimento, Detalhes de férias, E-mail, Nome, PIS, RG, Outros tipos de dados pessoais;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, Adobe Reader, Carta, Dimep, E-Mail, Totvs, Telefone, Sistema Interno, Excel, Fisico, Pasta Interna, Presencial, Pdf Creator;Falso;Não;;;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Não;GERENCIA ADMINISTRATIVA;;;Contrato, E-mail, Ligação, Scanner/Digitalização, Site, Via física, Outras fontes de Dados;Absoluta , Computador, E-mail, Nuvem, Pastas de Rede Compartilhada, Sistemas/ Aplicativos de Terceiros, Site, Planilhas;Atividades Administrativas;Dados de colaboradores
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Comprovante de Pagamento - Demonstrativo de pagamento de fatura, onde contém valores de mensalidade e Coparticipação.;Outras Finalidades;;Não ha compartilhamento dessas informações.;;Apenas atendimento ao cliente (financeiro/cobrança) faz a emissão desses comprovantes e os entregam apenas aos titulares.;Não;Sim;;;Não;Cliente solicita uma segunda via do comprovante de pagamento, onde retiramos do sistema um boleto já pago com a informação de que o mesmo está pago desde a data que a mesma aconteceu. Cliente, também, solicita o demonstrativo com o total pago por beneficiários mês a mês segregando os itens de receitas faturados.;Não;Acesso aos Dados;;Indeterminado;Apenas atendimento ao cliente (financeiro/cobrança) faz a emissão desses comprovantes e os entregam apenas aos titulares.;;Sim;e-mail.;;CPF, Nome, Carteirinha do plano;;MV SOUL;Falso;Não;;;Financeiro; acima de 10.000.000;FINANCEIRA;;Não;;;;Contrato, Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Documentação do Cliente;Dados de Clientes, Dados de cooperados
;Não há;Brasil;;;;Documentos Físicos, Outros métodos de transferência;Manutenção contratual;Verdadeiro;Movimentação cadastral,Inclusão de titular e  dependentes PJ;Outras Finalidades;Unimed Brasil, ANS, Seguros Unimed,;Não há;;;Não;Não;Endereço;;Sim;Adesão ao contrato do plano de saúde coletivo empresarial;Não;;;Indeterminado;;;Não;;;Celular, CPF, Data de aniversário/nascimento, E-mail, Nome, PIS, RG, Telefone , Outros tipos de dados pessoais;"Entidade Profissional Reguladora, Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL, UNICOO, E-Mail, Fisico;Falso;Não;;Arquivo do cadastro;Cadastro;de  0 a 1.000;FINANCEIRA;;Não;;Arquivos TXT, Arquivos XML;;Clientes;Absoluta , Outras Localizações, E-mail, Planilhas;Documentação do Cliente;Dados de Clientes
CONTRATO DE TRABALHO;Backup ou Cópia de Segurança, Controle de Acesso;BRASIL;;;;Integração de Aplicações,  Integração de aplicativos, E-Mail, Documentos Físicos;RELATORIO FOLHA DE PAGAMENTO;Verdadeiro;RELATORIO FOLHA DE PAGAMENTO;Atividades Administrativas;SANTANDER;;;;Sim;Sim;DATA DE ADMISSÃO, CARGO, SALARIO, SETOR;TOTVS;Sim;CONTABILIDADE COMPOR CONTAS CONTABEIS E FINANCEIRO INDICADORES ESTRATEGICOS E ORÇAMENTO ANUAL.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;CONTABILIDADE COMPOR CONTAS CONTABEIS E FINANCEIRO INDICADORES ESTRATEGICOS E ORÇAMENTO ANUAL.;Origem Racial, Etnia;Sim;EMAIL, TELEFONE, FISICO;;Celular, CPF, Data de aniversário/nascimento, Detalhes de férias, Detalhes de aposentadoria e pensões, E-mail, Histórico empregatício, Nome, Outros tipos de dados pessoais, RG, PIS, Telefone ;Instituições Bancárias;Acesso A Internet, Adobe Reader, E-Mail, Excel, Fisico, Malote Via Banco, Pdf Creator, Word, Totvs, Sistema Interno, Office;Falso;Não;;TOTVS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Sim;FINANCEIRO, CONTABILIDADE, GERENCIA ADMINISTRATIVA;;;Contrato, E-mail, Ligação, Site, Via física, Scanner/Digitalização, Outras fontes de Dados;Absoluta , Computador, E-mail, Outras Localizações, Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Pastas e Documentos na Nuvem;Atividades Administrativas;Dados de colaboradores
;Não há;Brasil;;;;;Manutenção cadastral;Verdadeiro;resposta de demanda  on-line;Atividades Administrativas;;;;;Sim;;;;Não;Devolutiva das demandas on-line.;Não;;;Indeterminado;;;;;;Carteirinha do plano, E-mail, Nome;;Portal Unimed, E-Mail;Falso;Não;;Arquivo no setor de cadastro;Cadastro;de  0 a 1.000;FINANCEIRA;;;Setor de cobrança , para que possam analisar a parte financeira e dar prosseguimento na devolução e/ou cobrança da mensalidade.;;;Clientes;Absoluta , Outras Localizações, E-mail;Atividades Administrativas;Dados de Clientes
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Devolução de Valores em caso de duplicidade de pagamento- quando acontece  pagamento em duplicidade e é necessário que haja o ressarcimento do valor.;Outras Finalidades;;Nao existe compartilhamento de informações financeiras.;;Apenas o modulo cobrança trata essa questão e só quem pode receber é o responsável pelo contrato.;Não;Não;;;Não;Cliente paga duas vezes a mesma fatura e isso gera um processo de devolução de valores. No atual sistema não tem mais essa necessidade de devolver o valor, podemos fazer um abatimento que será para o próximo faturamento, será feito um adiantamento.;Não;Acesso aos Dados;;Indeterminado;Apenas o modulo  Cobrança trata esse tipo de processo, fazendo a devolução diretamente ao responsável através de cheque ou ted.;;Sim;e-mail;;Carteirinha do plano, CPF, Nome;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Documentação do Cliente;Dados de Clientes
;Backup ou Cópia de Segurança, Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”), Gestão de Senhas;BRASIL;;;;;RELATORIO FUNCIONARIO;Verdadeiro;RELATORIO FUNCIONARIO;Atividades Administrativas;;;;ARQUIVO, ABSOLUTA;Sim;Não;CARGO, DATA DE ADMISSÃO, SALARIO, HISTORICO DE AVALIAÇÃO, DADOS DE DEPENDENTES, DADOS DE BENEFICIOS, DADOS PESSOAIS, PERFIL COMPORTAMENTAL;TOTVS;Não;O GESTOR SOLICITA RELATORIO DA SUA RESPECTIVA AREA.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;RELATORIO SOLICITADO PELO GESTOR, COM OS DADOS DA SUA RESPECTIVA AREA, COMO DADOS FINANCEIROS, DADOS COMPORTAMENTAIS, DADOS CADASTRAIS.;Etnia, Dados Genéticos, Dado referente à Saúde/Dados Médicos, Origem Racial;Sim;EMAIL, TELEFONE, CONTATO FISICO;;Celular, CPF, Data de aniversário/nascimento, Detalhes de aposentadoria e pensões, Detalhes de férias, E-mail, Histórico empregatício, Informações de filhos, Nome, Outros tipos de dados pessoais, RG, Telefone ;;Adobe Reader, Carta, E-Mail, Excel, Acesso Aos Sites, Alterdata, Dimep, Internet, Office, Pdf Creator, Pasta Interna, Presencial, Telefone, Totvs, Word, Tminer;Falso;Não;;TOTVS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Não;AREA SOLICITANTE;;;Contrato, E-mail, Ligação, Outras fontes de Dados, Scanner/Digitalização, Site, Via física;Absoluta , Computador, E-mail, Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Site, Outras Localizações;Atividades Administrativas;Dados de colaboradores
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionario Financeiro;Verdadeiro;Devolução de valores por motivo de Óbito-  Quando o cliente falece apos realizar o pagamento do boleto.;Outras Finalidades;;Não ha compartilhamento de informações financeiras.;;Apenas o modulo cobrança trata essa questão. Devolução dos valores para os herdeiros do falecido ou para o próprio titular do contrato.;Não;Sim;;;Não;Os pagamentos são pré, então o pagamento acontece e tem um período de cobertura e nesse período o titular ou dependente falece, devemos devolver o valor dotempo que não foi utilizado.;Não;;;Indeterminado;Devolução dos valores para os herdeiros do falecido ou para o próprio titular do contrato.;;;;;CPF, Nome, RG, Dados bancários;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
;Backup ou Cópia de Segurança, Bloqueio de Acesso, Firewall;Brasil;;;;;Processo de Armazenamento de documentos - Gestão de Pessoas;Verdadeiro;PROCESSO DE ARMAZENAMENTO DOS DOCUMENTOS DO SETOR GESTÃO DE PESSOAS.;Atividades Jurídicas;;;;;Não;Não sei;;;Não;Armazenamento de toda a documentação gerada pelo setor de Gestão de Pessoas da nossa empresa.;Não;;;Indeterminado;;;Não sei;;;Celular, Currículos, CPF, Data de aniversário/nascimento, E-mail, Nome, PIS, RG, Telefone , Informações de filhos, Informações da família, Detalhes de férias, Detalhes de aposentadoria e pensões;;Fisico, Manual;Falso;Não;;;Compras;de  0 a 1.000;ADMINISTRATIVA;;Não sei;;;;Contrato, E-mail, Sistemas MV ou UNICOO, Via física;Absoluta ;Acompanhamento do RH, Análise do Desempenho do RH, Atividades Administrativas, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Dados de candidatos, Dados de crianças, Dados de colaboradores
CONTRATO DE TRABALHO;Backup ou Cópia de Segurança, Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”), Gestão de Senhas;BRASIL;;;;E-Mail,  Integração de aplicativos, Documentos Físicos, Cópia Eletrônica de Documentos, Telefone, Transferência de Arquivos;RELATORIO UNIODONTO, ALELO, VALE TRANSPORTE;Verdadeiro;RELATORIO UNIODONTO, ALELO, VALE TRANSPORTE;Atividades Administrativas;ESOCIAL, SANTANDER, ABSOLUTA;;;ARQUIVO;Sim;Sim;VALORES DOS BENEFICIOS, DATA DE ADMISSÃO, CARGO, SETOR, DEMAIS DEPENDENTES;TOTVS;Sim;RELATORIO UNIODONTO, ALELO, VALE TRANSPORTE, APRESENTAÇÃO DE RELAÇÃO DE COLABORADORES QUE POSSUEM O BENEFICIO.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;RELATORIO UNIODONTO, ALELO, VALE TRANSPORTE, APRESENTAÇÃO DE RELAÇÃO DE COLABORADORES QUE POSSUEM O BENEFICIO.;Origem Racial, Etnia;Sim;EMAIL, TELEFONE, FISICO;;Carteirinha do plano, Celular, CPF, Dados bancários, Data de aniversário/nascimento, Detalhes de férias, E-mail, Histórico empregatício, Nome, Informações de filhos, Informações da família, Outros tipos de dados pessoais, PIS, RG, Telefone ;"Contador Externo, Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros""), Instituições Bancárias";Acesso A Internet, Acesso Aos Sites, Adobe Reader, Carta, E-Mail, Excel, Internet, Fisico, Pdf Creator, Planilha, Presencial, Telefone, Totvs, Uniodonto, Alelo Site, Fetranspor Site, Power Point;Falso;Não;;TOTVS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Sim;AREA PERTINENTE;;;Contrato, E-mail, Ligação, Outras fontes de Dados, Scanner/Digitalização, Site, Via física;Absoluta , Computador, E-mail, Outras Localizações, Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Site;Atividades Administrativas;Dados de colaboradores
;Gestão de Senhas, Controle de Acesso;Brasil;Anos;;Sim;E-Mail;Reclamação - Fale Conosco;Verdadeiro;Reclamação oriunda do Call Center;Gerenciamento do relacionamento com o cliente;Singulares do sistema Unimed e rede credenciada.;;Art. 11, II, a – Cumprimento de Obrigação Regulatória;;Sim;Não;;;Sim;Entrada da manifestação em andamento pelo OMD (call center) > apuração dos fatos junto a área responsável ou prestador > recebimento da resposta > formalização da resposta  > finalização junto ao setor fale conosco.;Não;Acesso aos Dados;;5;Política/regime interno da Ouvidoria.;Dado referente à Saúde/Dados Médicos;Em Construção;Em construção;;Carteirinha do plano, CPF, E-mail, Nome, Telefone , Celular;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Omd, E-Mail, Acesso A Internet;Falso;Não;;;Ouvidoria;de  0 a 1.000;VICE-PRESIDENTE;;Não;Todas as áreas de relacionamento com o cliente.;;;E-mail, Site, Sistemas MV ou UNICOO;Computador, E-mail, Pastas de Rede Compartilhada, Planilhas, Site;Gerenciamento do relacionamento com o cliente;Dados de Clientes, Dados de crianças, Dados de colaboradores
;Controle de Acesso;Brasil;;;;;Processos cíveis;Verdadeiro;Acesso e transmissão de dados de usuários, ex-usuários e seus representantes legais ou processuais, recebidos em ofícios de processos administrativos extrajudiciais;Análise e Pesquisa;;;;;Não;Não;;Sites de órgãos públicos;Não;Acesso à dados de usuários e ex-usuários que são recebidos por ofício, para elaboração de resposta.;Não;;;Indeterminado;;;Não;;;CPF, Data de aniversário/nascimento, Nome, RG;;Correio, Carta, E-Mail;Falso;Não;;;Juridico Civil;de  0 a 1.000;PRESIDENTE;;Não;;;;Fontes Públicas (descrever quais no campo “outras fontes de dados”);Pastas de Rede Compartilhada, E-mail;Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Dados de Clientes, Dados de colaboradores, Dados de cooperados
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;E-Mail, Cópia Eletrônica de Documentos;Questionário Financeiro;Verdadeiro;DIRF (Declaração para Imposto de Renda) - Demonstrativo de pagamento anual, onde contém valores de mensalidade / Coparticipação/ Reembolsos;Outras Finalidades;Receita Federal;Não há compartilhamento.;;Emitir o demonstrativo apenas para o responsável legal ou titular.;Não;Sim;;;Sim;Emissão de Informativo para fins de Declaração de Imposto de Renda, onde contem dados de Pagamentos para declarar a Receita Federal.;Não;;;Indeterminado;Emitir o demonstrativo apenas para o responsável legal ou titular.;;;;;CPF, Nome, Carteirinha do plano;Receita Federal;MV SOUL;Falso;Sim;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
CONTRATO DE TRABALHO;Backup ou Cópia de Segurança, Controle de Acesso, Gestão de Senhas;BRASIL;;;;Formulário WEB,  Integração de aplicativos, Cópia Eletrônica de Documentos, E-Mail, Documentos Físicos;RESCISÃO CONTRATUAL;Verdadeiro;RESCISÃO CONTRATUAL;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória;ATHOS, ESOCIAL, GOV.COM, SANTANDER;;;;Sim;Sim;DATA DE ADMISSÃO, CARGO, SALARIO, SETOR, EXAMES MEDICOS;TOTVS, MARCAÇÃO DE PONTO;Sim;CALCULO DE VERBAS TRABALHISTAS PARA QUITAÇAO JUNTO AO COLABORADOR, ATUALIZAÇÃO DESSA INFORMAÇÃO JUNTO AOS ORGAOS FISCAIS, TRABALHISTAS E PREVIDENCIARIO.;Não;Confirmação da Existência de Tratamento, Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;CALCULO DE VERBAS TRABALHISTAS PARA QUITAÇAO JUNTO AO COLABORADOR, ATUALIZAÇÃO DESSA INFORMAÇÃO JUNTO AOS ORGAOS FISCAIS, TRABALHISTAS E PREVIDENCIARIO.;Dado referente à Saúde/Dados Médicos, Dados Genéticos, Etnia, Origem Racial;Sim;PRESENCIAL, EMAIL, TELEFONE;;Celular, CPF, Carteirinha do plano, Dados bancários, Data de aniversário/nascimento, Detalhes de aposentadoria e pensões, Detalhes de férias, E-mail, Histórico empregatício, Informações da família, Informações de filhos, Nome, Outros tipos de dados pessoais, PIS, RG, Telefone ;"Contador Externo, Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros""), INSS, Instituições Bancárias, Receita Federal";Acesso A Internet, Acesso Aos Sites, Adobe Reader, Alterdata, Carta, Correio, E-Mail, Excel, Fisico, Internet, Malote Via Banco, Dimep, Alelo Site, Internet (Portal Unimed Seguros), Office, Pdf Creator, Planilhas, Pasta Interna, Presencial, Sistema Interno, Sites, Totvs, Word, Uniodonto, Taf, Planilha, Relogio Dimep, Sefip, Telefone;Falso;Não;;TOTVS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Sim;GERENCIA ADMINISTRATIVA, DIRETORIA, FINANCEIRO, CONTABILIDADE;;;Contrato, E-mail, Ligação, Scanner/Digitalização, Outras fontes de Dados, Site, Via física;Absoluta , Computador, E-mail, Outras Localizações, Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Site, Nuvem, Pastas e Documentos na Nuvem;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória;Dados de colaboradores
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;Cópia Eletrônica de Documentos;Questionário Financeiro;Verdadeiro;DMED- envio de arquivo para receita federal para efeitos de comprovação dos pagamentos do ano.;Outras Finalidades;Receita Federal;Finalidades contábeis;;Informação analisada e validada pelo setor de reembolso.;Não;Sim;;;Sim;Envio de Arquivo para Receita Federal com a comprovação de pagamentos anual de nossos usuarios.;Não;Acesso aos Dados;;Indeterminado;Gerar arquivo e corrigir as falhas antes de enviar para a Receita Federal.;;Sim;arquivo de dados gerado.;;Carteirinha do plano, CPF, Nome;Receita Federal;MV SOUL;Falso;Não;;;Financeiro;de 10.000.000 a 100.000.000;FINANCEIRA;;Não;;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
CONTRATO DE TRABALHO;Backup ou Cópia de Segurança, Gestão de Senhas;BRASIL;;;;Formulário WEB,  Integração de aplicativos, E-Mail, Telefone;SEGURO DE VIDA;Verdadeiro;SEGURO DE VIDA;Atividades Administrativas;UNIMED SEGUROS;;;;Sim;Sim;DATA DE ADMISSÃO, CTPS, CARGO, SETOR;TOTVS, ARQUIVO;Sim;CADASTRO DE SEGURO DE VIDA;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;CADASTRO DE SEGURO DE VIDA, UNIMED SEGUROS, ENCAMINHO ATRAVES DO SITE E RELATORIO DE MOVIMENTAÇÃO PARA A GERENCIA ADMINISTRATIVA.;Dados Genéticos, Etnia, Origem Racial;Sim;PRESENCIAL, EMAIL, TELEFONE;;Celular, CPF, Data de aniversário/nascimento, E-mail, Histórico empregatício, Nome, PIS, RG, Outros tipos de dados pessoais, Telefone ;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, Acesso A Site, Adobe Reader, Carta, Correio, E-Mail, Excel, Fisico, Internet (Portal Unimed Seguros), Office, Pdf Creator, Pasta Interna, Presencial, Totvs, Word, Unimed Seguros Site;Falso;Não;;TOTVS, PORTAL UNIMED SEGUROS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Sim;GERENCIA ADMINISTRATIVA, FINANCEIRO;;;Contrato, E-mail, Via física, Scanner/Digitalização, Outras fontes de Dados;Absoluta , Computador, E-mail, Nuvem, Outras Localizações, Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Site;Atividades Administrativas;Dados de colaboradores
;Gestão de Senhas, Controle de Acesso;Brasil;;;;;NDD Print - usuários;Verdadeiro;CADASTRO USUARIO SISTEMAS ;Atividades Administrativas;;;;;Não;Não;;;Não;Processo onde é realizado o cadastro do usuário no portal de impressão NDD.;Não;Acesso aos Dados;;Indeterminado;Os dados são fornecidos para os colaboradores após o cadastro - fornecido o PIN para autenticação;;Sim;E-mail, telefônico.;;Nome, E-mail;;Site;Falso;Não;;;Tecnologia da Informação;de  0 a 1.000;PRESIDENTE;;Não;;;;Site;Site;Atividades Administrativas;Dados de colaboradores
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;Suporte ao cliente para reaver o plano.;;;Questionário Financeiro;Verdadeiro;Efetivação da Reativação: Após a  análise favorável a reativação o responsável contratual comparece a Unimed;Outras Finalidades;;analise para reativação.;;Informação percorre Recuperação de clientes, gerencia financeira e gerencia medica para dar o de acordo com o cliente.;Sim;Sim;;;Não;Reativação de Contrato já cancelado.;Não;Acesso aos Dados;;Indeterminado;Analise de vida e utilização do contrato e sinistralidade para dar o veredicto de reativação.;Dado referente à Saúde/Dados Médicos;Sim;e-mail e presencial.;;Carteirinha do plano, CPF, Nome;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;Gerencia Medica.;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Outras Finalidades;Dados de Clientes
